UniqueAnimalID,min,max,dias_tracking,TotalDistance_km,distance_per_day,AvgLatitude,AvgLongitude,Year
288,2004-07-01,2005-11-30,518,5619.20063267601,10.847877669258708,71.24078126022913,-147.67175343698852,2004
292,1998-07-01,2006-11-30,3075,12616.38378211155,4.102889034833025,73.71007055616138,-152.06139193020718,1998
293,2007-07-01,2010-11-30,1249,5997.158801244562,4.801568295632155,70.59519953703703,-148.07043822751322,2007
294,1999-07-01,2001-11-30,884,8159.044948924673,9.22968885624963,71.37990856052345,-146.7139370774264,1999
295,1999-07-01,1999-11-30,153,2951.270615859535,19.28935043045448,71.80764377049181,-148.53065196721312,1999
296,1999-07-01,1999-11-30,153,3793.7152774762885,24.795524689387506,72.20549266666666,-149.42870044444444,1999
297,1999-07-01,2007-11-30,3075,22401.384139239435,7.2850029721103855,73.83970400801604,-145.6277631012024,1999
298,1999-07-01,1999-10-28,120,2052.8584510936407,17.10715375911367,72.14029716088328,-154.37188170347002,1999
299,1999-07-01,1999-11-30,153,3074.5305616168375,20.094970990959723,72.47603983606557,-152.3420293442623,1999
300,2008-07-01,2008-11-30,153,4311.790549395565,28.18163757774879,75.07245356521739,-151.34087026086956,2008
301,2004-07-01,2005-11-02,490,6662.590457136231,13.597123381910675,72.89877137614678,-139.45558587155963,2004
302,2006-07-01,2009-11-02,1221,10178.720685394474,8.336380577718652,72.73395563770795,-147.94086678989524,2006
303,1999-07-01,2002-10-17,1205,14666.166306320696,12.17109237039062,73.70731801762113,-144.93237158590307,1999
304,2008-07-01,2009-11-30,518,5861.5173212302925,11.315670504305585,74.12253109656301,-146.92455752864157,2008
305,2000-07-01,2000-11-30,153,2256.0172719424886,14.745210927728683,69.87775931558934,-141.43484144486692,2000
306,2008-08-17,2008-11-18,94,1418.5337428949815,15.090784498882782,70.04876469002696,-143.09451994609165,2008
308,2002-07-01,2002-11-30,153,3131.32113959726,20.466151239197778,71.51351655737705,-142.2358181967213,2002
309,2000-07-01,2000-11-26,149,3493.0177174419127,23.443071929140356,71.55246345177665,-137.41554585448392,2000
310,2009-07-01,2012-11-30,1249,5250.7372081986505,4.203952928902042,72.33042048736462,-155.21753790613718,2009
311,2013-07-01,2013-11-30,153,3837.3425070223884,25.080669980538488,72.07164442622951,-146.62937213114753,2013
312,2000-07-01,2001-11-30,518,7208.802786180513,13.916607695329176,71.95741775777414,-153.12254705400983,2000
313,2013-07-01,2014-11-30,518,4077.2472629902527,7.871133712336396,70.6397612111293,-148.97480736497545,2013
314,2000-07-01,2002-11-15,868,12700.806844115656,14.632265949441999,71.55852732919254,-146.82601592320722,2000
315,2000-07-01,2002-11-30,883,12331.755454580541,13.96574796668238,71.14763642311887,-144.95265812431842,2000
316,2000-10-16,2009-11-25,3328,10730.020540444822,3.2241648258548143,70.7830886728972,-151.2007303551402,2000
317,2001-07-01,2003-11-30,883,12149.359375075315,13.75918389023252,71.93525272417706,-152.6314273552781,2001
320,2008-07-01,2009-10-15,472,5988.459777400799,12.687414782628812,73.99342687861272,-142.59003477842006,2008
321,2002-07-01,2002-11-30,153,1723.0215752061963,11.261578922916316,72.27887688524591,-128.90316147540983,2002
322,2004-07-01,2004-11-30,153,3563.22605507774,23.28905918351464,71.83391426229508,-140.73474885245903,2004
323,2001-07-01,2002-10-16,473,4072.8541050724803,8.610685211569725,73.29224315906562,-154.6554978865406,2001
324,2009-08-07,2009-10-07,62,590.4162465983422,9.522842687070035,70.3597624489796,-147.9289493877551,2009
325,2001-10-14,2002-11-30,413,2569.4240439588716,6.22136572387136,70.19415692883895,-143.86055468164795,2001
326,2008-08-24,2009-11-30,464,1595.5412976850348,3.438666589838437,70.49512867383513,-147.36726260454003,2008
327,2002-07-01,2005-11-30,1249,7047.615296016683,5.642606321870843,71.31708870703764,-145.72966898527005,2002
328,2002-07-01,2007-11-30,1979,14176.12723514797,7.163278036962087,71.4153728536386,-138.37509799672935,2002
329,2003-07-01,2005-11-30,884,9563.665834328505,10.818626509421387,73.00478959505062,-145.4582505624297,2003
330,2004-07-01,2005-11-30,518,8808.973967415906,17.00574124983766,73.98024004914005,-168.61368574938575,2004
332,2004-07-01,2004-11-30,153,3883.8551262595497,25.384674027840195,74.10403573770492,-143.71101311475408,2004
333,2004-07-01,2004-11-30,153,3319.4230788647014,21.695575678854258,74.08531901639344,-135.50969475409835,2004
334,2004-07-01,2004-11-30,153,3615.872967372105,23.633156649490882,71.21828606557376,-133.0280955737705,2004
336,2004-07-01,2004-11-30,153,3253.741834627038,21.26628650083031,73.06739081967213,-137.53270262295084,2004
337,2004-07-01,2005-11-30,518,7259.779047733627,14.015017466667233,71.32203396072013,-142.90395229132568,2004
338,2004-07-01,2004-11-30,153,3120.100236577714,20.39281200377591,74.35729590163935,-133.8575195081967,2004
339,2008-07-01,2009-10-18,475,5066.047797924904,10.665363785105061,70.33425685714286,-145.07809266666666,2008
341,2004-07-01,2004-11-30,153,3659.16573436244,23.91611591086562,72.26359927272728,-130.48923127272727,2004
342,2004-07-01,2004-11-30,153,3811.3692155499352,24.910909905555133,74.45481,-138.55325852459015,2004
343,2004-10-09,2005-11-30,418,2794.804722145953,6.686135698913763,70.63561887941535,-149.8757891595615,2004
344,2007-07-01,2009-11-30,884,9487.014447296435,10.731916795584203,75.47417283415842,-164.02219548267328,2007
347,2005-07-01,2006-11-17,505,6438.459269074984,12.749424295197988,73.2768241025641,-155.20787376068378,2005
348,2005-07-01,2006-11-20,508,6190.271008090412,12.185572850571676,72.44386175438596,-153.7320248245614,2005
349,2005-07-01,2010-11-30,1979,10388.282083563741,5.249258253443022,72.95359304093567,-159.2485650877193,2005
350,2005-07-01,2006-11-30,518,5207.1508577046525,10.052414783213615,75.08493919803601,-154.44010351882162,2005
351,2005-07-01,2015-11-30,3805,8210.870455091152,2.1579160197348624,73.39566638725901,-156.75904459346185,2005
352,2005-07-01,2006-10-20,477,5642.641272023783,11.829436628980677,71.56343109640832,-134.7562584120983,2005
353,2006-07-01,2006-11-30,153,2901.3360660858298,18.96298082409039,76.74777918032787,-145.07285016393442,2006
354,2006-07-01,2007-11-23,511,10198.546162636501,19.95801597384834,75.7328974036851,-157.5950920435511,2006
355,2006-07-01,2007-11-30,518,5450.260356827619,10.52173814059386,74.7338783887468,-157.02352749360614,2006
356,2014-07-01,2015-10-12,469,3098.85603166661,6.607368937455458,70.6706177734375,-149.56440634765625,2014
358,2007-07-01,2007-10-30,122,2703.151229736786,22.156977292924473,76.63888106995886,-158.077229218107,2007
360,2007-07-01,2007-11-30,153,5338.03619846863,34.88912548018712,73.45364573770492,-135.78304606557379,2007
361,2007-07-01,2009-11-02,856,7240.928154835845,8.459028218266173,72.56321614066727,-151.2973487826871,2007
362,2007-07-01,2009-10-17,840,8421.515284454144,10.025613433873982,71.63255525657071,-138.32493898623278,2007
363,2007-07-01,2009-11-30,884,10334.124722288663,11.690186337430614,73.25075899408284,-144.96046402366864,2007
364,2008-07-01,2008-10-31,123,2864.366448828296,23.287532104295092,73.43187653061224,-133.6438867346939,2008
365,2008-07-01,2009-10-31,488,7426.7676737648035,15.218786216731155,75.29079328493647,-159.24302577132488,2008
367,2009-08-12,2009-09-15,35,474.77599979795116,13.565028565655748,70.30103868613139,-146.47116642335766,2009
369,2008-07-01,2008-11-30,153,2023.8209702488268,13.227588040842006,70.16804442622951,-144.52827819672132,2008
370,2008-07-01,2011-10-09,1196,9603.972399272465,8.030077256916776,74.07950062500001,-168.37970921875,2008
371,2008-07-01,2011-11-11,1229,12717.10943031709,10.347525980729936,74.95204358851676,-141.79610444976078,2008
373,2008-07-01,2008-11-23,146,2972.7675776905285,20.36142176500362,70.60807728055077,-147.14347555938036,2008
374,2008-08-11,2008-10-20,71,306.52626344021496,4.317271316059366,70.12960640569395,-143.93945800711742,2008
375,2009-08-18,2009-10-30,74,722.8205137932592,9.76784478098999,70.23999897610922,-145.15327781569965,2009
377,2008-08-23,2008-11-15,85,1603.7439789774478,18.86757622326409,70.03151526946108,-142.57920688622755,2008
378,2009-08-08,2009-10-11,65,565.0927066455175,8.693733948392577,70.06134132231405,-144.6649256198347,2009
379,2008-08-28,2011-08-16,1084,6900.869604661071,6.366115871458553,71.81064361799817,-167.27215941230486,2008
380,2008-08-29,2008-11-30,94,1522.4919088880056,16.19672243497878,70.2854471849866,-140.63348069705094,2008
381,2009-07-01,2009-11-30,153,3473.3719662957883,22.701777557488814,75.11367081967214,-171.97815573770492,2009
382,2009-07-01,2009-11-30,153,3762.938095791555,24.59436663916049,73.95104377049181,-154.68918262295082,2009
383,2009-07-01,2013-11-30,1614,6196.357334421643,3.8391309383033723,72.29707161936561,-156.08120684474125,2009
384,2009-07-01,2009-11-30,153,3308.767384972809,21.625930620737314,73.2598562295082,-151.1216368852459,2009
385,2009-07-01,2014-11-30,1979,6697.730612111455,3.3844015220371175,74.17084099746408,-160.35592916314454,2009
386,2009-07-01,2009-11-01,124,3333.353566406216,26.88188360005013,72.95208299595141,-153.08492408906883,2009
388,2009-07-01,2009-11-30,153,4449.286761902031,29.080305633346608,72.59992131147541,-153.04204229508196,2009
389,2008-07-01,2008-11-17,140,3467.209815511213,24.765784396508664,73.32101584362141,-155.470403909465,2008
394,2008-07-01,2010-11-30,883,4983.598864587737,5.643939823995172,71.82735765877958,-170.96425902864257,2008
395,2008-07-01,2008-11-29,152,3962.5597953304214,26.06947233770014,74.71707504587155,-164.73579963302754,2008
396,2009-07-01,2011-11-30,883,3590.8812040427542,4.066683130286245,72.14644219858155,-172.70045638297873,2009
397,2008-07-01,2011-11-30,1248,8597.731757392563,6.889208138936349,73.28334306418219,-166.01775990338163,2008
398,2009-07-01,2009-11-30,153,2351.2971161433347,15.367955007472776,72.39327868852459,-175.85705262295082,2009
399,2009-07-01,2009-11-30,153,1528.2407180618154,9.988501425240624,72.0041448497854,-174.59122854077253,2009
401,2009-07-01,2010-11-30,518,3379.150158974507,6.523455905356191,71.34511379844962,-177.59220015503877,2009
402,2009-07-17,2009-10-16,92,1037.516972840148,11.27735840043639,72.26390079365079,-177.11604523809524,2009
403,2009-07-01,2010-11-27,515,5692.301612550595,11.053012839904067,76.64060328638497,-174.51098995305165,2009
404,2009-08-27,2009-11-30,96,1277.1792734116234,13.30395076470441,71.10498962765958,-179.3579191489362,2009
405,2009-07-01,2009-09-01,63,1246.4566882354752,19.785026797388497,76.45626224899598,-168.93630562248995,2009
406,2009-07-01,2009-11-30,153,1678.9996359249901,10.973853829575098,71.44395371287129,-176.00951435643566,2009
407,2010-07-01,2010-11-30,153,1437.0717811550523,9.392626020621258,72.98177040816326,-176.48797908163266,2010
409,2010-07-01,2010-11-30,153,921.3925243526868,6.022173361782267,69.63998776595744,-179.09621010638298,2010
410,2009-08-11,2009-11-03,85,1235.1117283723577,14.530726216145384,70.071493768546,-144.0686059347181,2009
411,2010-07-01,2010-11-30,153,2482.9996580389666,16.228755934895208,73.43015923913043,-169.3045358695652,2010
412,2010-07-01,2010-11-30,153,3260.7324881758977,21.311977046901294,74.90696737704917,-169.29292639344263,2010
413,2010-07-01,2010-11-30,153,3727.9222279002283,24.365504757517833,75.50720459016394,-159.95388475409834,2010
414,2010-07-01,2010-11-30,153,1865.2525399418066,12.191193071515077,71.45811770491804,-176.7017736065574,2010
415,2010-07-01,2010-11-30,153,2059.2978895930273,13.459463330673382,72.11911491525424,-170.52395016949154,2010
416,2010-07-01,2010-11-30,153,1791.2469952309193,11.707496700855682,71.68911157556269,-174.10639453376206,2010
418,2010-07-01,2010-11-30,153,1292.6210951125963,8.448503889624812,71.14164049180327,-176.0328570491803,2010
419,2010-07-01,2010-10-21,113,993.3919691138753,8.791079372689163,71.35598530805687,-177.05586682464457,2010
422,2010-07-01,2010-11-30,153,1705.2370925218138,11.145340473998782,72.11007430340557,-172.02013839009288,2010
423,2010-07-01,2011-11-30,518,3643.1788610314434,7.033163824385026,71.44555297029703,-175.43941472772278,2010
425,2010-07-01,2015-07-24,1850,5211.812399554937,2.817195891651317,71.13157852760736,-172.79640319018404,2010
426,2010-07-01,2010-11-30,153,2080.8324764322306,13.600212264262945,71.40693475409836,-174.30196393442623,2010
427,2011-07-01,2011-08-04,35,377.54183120606916,10.786909463030547,72.5460282051282,-176.63801794871796,2011
428,2011-07-01,2011-11-30,153,3818.737241074951,24.959066935130398,73.15061344262296,-149.03566180327869,2011
430,2011-07-01,2011-11-30,153,3349.599425667435,21.892806703708725,75.23835745454545,-169.61618727272727,2011
431,2011-07-01,2011-11-30,153,1162.0924185299891,7.595375284509733,71.02260635696821,-153.70396968215158,2011
432,2011-07-01,2011-11-30,153,3526.8074439898373,23.051029045685212,72.29751163934426,-148.86709278688525,2011
433,2011-07-01,2011-08-17,48,1203.2631616452704,25.067982534276467,76.13651105263158,-161.75958210526315,2011
435,2011-07-01,2011-11-30,153,3269.051177665792,21.366347566443082,74.39193868852459,-143.61346590163936,2011
436,2011-07-01,2011-11-30,153,2205.422097783724,14.4145235149263,70.78170672131147,-149.51534295081967,2011
437,2011-07-01,2011-11-30,153,2475.32662346799,16.178605382143726,76.75986803278688,-134.8186337704918,2011
438,2011-07-01,2011-11-30,153,1246.2163693251134,8.145205028268714,72.15429246861925,-174.01542384937238,2011
440,2012-07-01,2012-11-30,153,5042.066018323545,32.95467985832382,74.70584311475409,-138.25057409836066,2012
441,2012-07-01,2012-11-30,153,2810.7376763865955,18.370834486186897,77.44326998254799,-129.15621832460732,2012
442,2012-07-01,2012-11-30,153,3197.6960400181442,20.899974117765648,75.63060698113208,-132.7759783018868,2012
443,2012-07-01,2012-11-30,153,2882.8876570936973,18.842402987540506,78.64698392857143,-139.52054241071428,2012
444,2012-07-01,2015-10-28,1215,12037.874633521698,9.907715747754484,73.05802894117647,-151.001181,2012
447,2013-07-01,2013-11-11,134,4485.518214217146,33.474016524008555,73.54415996240601,-152.72818684210526,2013
450,2013-07-01,2013-11-30,153,2956.9196018207094,19.326271907324898,72.64480475409836,-142.8990557377049,2013
451,2013-07-01,2014-11-30,518,5935.662734111589,11.45880836701079,71.41908412438626,-146.2667055646481,2013
452,2013-07-01,2013-10-16,108,2125.120567420913,19.67704229093438,71.86857102803738,-130.09596098130842,2013
453,2014-07-01,2014-10-16,108,1610.3219334379621,14.910388272573723,73.93355839793281,-167.0528023255814,2014
454,2014-07-01,2015-11-06,494,5376.756046858699,10.884121552345544,74.1745365008881,-151.08483126110124,2014
455,2014-07-01,2014-11-30,153,1484.3835835432885,9.701853487211036,70.60195639344263,-148.75862901639343,2014
456,2014-07-01,2014-11-30,153,3343.513752807595,21.85303106410193,72.74756196721312,-142.29337114754097,2014
457,2014-07-01,2014-11-30,153,3723.097985226298,24.333973759649005,72.98925032786885,-153.5540262295082,2014
458,2014-07-01,2014-11-30,153,2214.9007406178534,14.47647542887486,73.41236484149856,-172.0629501440922,2014
459,2015-07-01,2015-11-30,153,2686.5736589405433,17.559304960395707,77.18579092465754,-157.53665171232876,2015
463,2011-07-01,2011-11-30,153,999.5226806079128,6.532827977829495,73.2702965116279,-176.7381854651163,2011
465,2011-07-01,2011-11-30,153,842.328616233916,5.505415792378536,70.36051222222223,-177.56076888888887,2011
466,2015-07-01,2015-08-03,34,983.953936669027,28.93982166673609,72.9010395522388,-173.24632014925373,2015
467,2011-07-01,2015-08-02,1494,936.7751899431651,0.627024892866911,73.51828642857143,-173.8043292857143,2011
468,2011-07-01,2012-10-31,489,2717.567441601302,5.557397631086507,71.09931097694842,-176.5631447859495,2011
469,2011-07-01,2011-11-30,153,1524.908714441638,9.966723623801556,72.13248964143426,-174.89236494023905,2011
470,2011-07-01,2011-11-30,153,916.4254357312275,5.98970873026946,70.81946319444445,-177.48211597222223,2011
471,2011-07-01,2011-11-30,153,817.9568510077319,5.3461232092008615,72.51061036585367,-175.096,2011
472,2011-11-20,2011-11-22,3,32.851452632832604,10.950484210944202,70.07084285714286,-179.96965714285716,2011
473,2013-07-01,2013-11-30,153,2435.153998908898,15.916039208554889,75.44627360655738,-153.19995098360656,2013
474,2013-07-01,2013-11-30,153,3665.228824357691,23.955743950050266,72.51173428030302,-171.00536117424244,2013
475,2013-07-01,2013-09-09,71,1326.122913146952,18.677787509112,72.16531075268817,-170.42440788530467,2013
477,2013-07-01,2013-08-28,59,1138.1003632668182,19.289836665539294,71.7324125,-173.1855448275862,2013
479,2013-07-01,2013-09-21,83,1351.0943762576228,16.278245497079794,72.24371006097562,-171.65497957317072,2013
480,2013-07-01,2013-11-14,137,3188.037584221071,23.27034733008081,72.79031012396695,-170.68184710743802,2013
482,2013-07-01,2013-10-21,113,1593.7248028070999,14.10375931687699,71.23112822222222,-177.92090466666667,2013
483,2015-07-01,2015-08-14,45,1000.4591829096336,22.232426286880745,73.52155056179775,-170.0171466292135,2015
484,2015-07-01,2015-08-11,42,1063.5895626958027,25.32356101656673,72.98719337349397,-166.6583265060241,2015
485,2015-07-01,2015-11-30,153,1592.8079441295447,10.410509438755193,71.17465950819673,-178.47193655737703,2015
486,2015-07-01,2015-11-30,153,1505.9479396658596,9.842796991280128,73.25753237704917,-173.00272336065572,2015
488,2015-07-01,2015-08-26,57,442.985264722169,7.771671310915246,71.70565060240965,-178.30202409638554,2015
489,2015-07-01,2016-08-16,413,1575.3858288281467,3.8144935322715416,71.38076997084548,-177.8877973760933,2015
491,2015-07-01,2015-11-18,141,1268.1494513737634,8.993967740239457,73.28240569948187,-167.801396373057,2015
492,2015-07-01,2015-07-25,25,698.3860726162493,27.93544290464997,72.31931428571428,-171.88165204081633,2015
493,2015-07-01,2015-11-30,153,1380.230865745673,9.021116769579562,72.58877562500001,-173.168643125,2015
495,2015-07-01,2015-11-30,153,521.978386118125,3.411623438680555,71.13587687747035,-179.18347648221342,2015
500,2016-07-01,2016-11-30,153,2166.6908512062178,14.161378112458939,71.22412329113924,-163.60424177215188,2016
501,2016-07-01,2016-11-03,126,3303.0402559604227,26.2146052060351,74.4480842,-159.5029066,2016
503,2016-07-01,2016-11-30,153,1996.0752393644452,13.046243394538857,71.47555901639345,-174.32106295081968,2016
505,2016-07-01,2016-11-30,153,2170.9141049120685,14.188981077856656,71.911135,-173.38752705882354,2016
507,2016-07-01,2016-11-30,153,1436.619101281228,9.389667328635477,71.17637146282974,-177.98308968824938,2016
508,2017-07-01,2017-09-07,69,1147.4326301001067,16.629458407247924,74.3402687732342,-177.5303501858736,2017
510,2017-07-01,2017-11-30,153,1422.4573535916768,9.29710688622011,71.08071704918032,-178.61834213114753,2017
511,2017-07-01,2017-09-08,70,1235.9008189085987,17.65572598440855,73.62590263157895,-174.84684789473687,2017
512,2017-07-01,2017-10-14,106,1579.1033284170753,14.897201211481843,73.72540494505495,-176.2858936813187,2017
514,2017-07-01,2017-08-31,62,569.8902514514793,9.191778249217409,71.67766593406593,-178.2832543956044,2017
515,2017-08-25,2017-11-30,98,577.8732920950398,5.8966662458677535,71.31127442922374,-178.96876392694062,2017
516,2017-07-01,2017-11-24,147,1229.2413799516905,8.362186258174766,71.28217351916376,-179.01154843205575,2017
517,2017-07-01,2017-11-30,153,543.4033195303431,3.551655683204857,70.9625084468665,-179.7190825613079,2017
518,2017-07-01,2017-11-30,153,845.6467854352095,5.527103172779147,71.14017770114943,-179.02637908045978,2017
519,2017-08-28,2017-11-14,79,464.34098554282025,5.877733994212915,71.08014388489208,-179.72130215827337,2017
521,2017-07-01,2017-08-26,57,381.1729372239729,6.6872445127012785,70.52703300970875,-178.90667961165047,2017
522,2017-07-09,2017-07-10,2,10.187866003080767,5.093933001540384,69.9356,-179.262,2017
524,2016-07-01,2016-11-30,153,2342.9695935011123,15.31352675490923,73.99008967213115,-128.41568918032786,2016
525,2016-07-01,2016-11-09,132,3374.855733340309,25.567088888941736,74.49752366412214,-128.6644507633588,2016
526,2016-07-01,2016-11-16,139,1661.7710130664575,11.955187144363004,74.08574223826714,-124.50372057761732,2016
527,2007-07-01,2008-10-28,486,4352.365477065411,8.955484520710723,70.51503732394367,-147.42577575452717,2007
528,2008-07-01,2010-11-30,883,6296.2193719955185,7.130486265000587,74.19297847790507,-139.49720049099835,2008
529,2013-07-01,2013-11-30,153,4467.568616175293,29.1997948769627,71.18714540983606,-141.70186,2013
530,2006-07-01,2007-11-30,518,5436.98117530152,10.49610265502224,74.46957504091652,-140.2986301145663,2006
531,2008-07-01,2010-11-17,870,8122.459731555103,9.336160610982876,73.76007609427609,-133.70612205387206,2008
532,2008-08-27,2009-09-17,387,332.3564328285428,0.8588021520117385,70.60878625000001,-150.8073828125,2008
533,2008-07-01,2008-11-30,153,2792.3442343828283,18.250615910998878,71.2774637704918,-155.229898852459,2008
534,2008-08-26,2008-10-10,46,312.51522879035,6.7938093215293485,70.13912430939227,-143.68275138121547,2008
535,2010-09-17,2010-11-30,75,412.33809854066527,5.497841313875537,69.62780168350169,-139.16833501683502,2010
536,2011-07-01,2014-11-30,1249,3942.003217853908,3.156127476264138,70.36873453355156,-145.79772373158755,2011
537,2008-08-21,2008-11-16,88,1350.9336277990096,15.351518497716018,70.22310744985673,-141.8649871060172,2008
539,2009-07-01,2009-10-19,111,2315.495122673796,20.860316420484647,73.35697936507937,-140.9956775510204,2009
540,2009-08-18,2009-11-09,84,1319.1445772632321,15.704102110276573,70.22177747747749,-144.82693513513516,2009
541,2006-07-01,2007-11-16,504,5599.996123001932,11.111103418654626,74.6729407373272,-151.49140294930876,2006
